"0",""
"0","porownanieMetod1r2<-data.frame(""Metoda""=0, ""Precyzja""=0, ""Czulosc""=0, ""Dokladnosc""=0, ""F1""=0)"
"0","  "
"0",""
"0","set.seed(123) "
"0","train.control <- trainControl(method = ""cv"", number = 10)"
"0","# Train the model"
"0",""
"0","precis<-c()"
"0","recal<-c()"
"0","accura<-c()"
"0",""
"0","  for(i in 1:10)"
"0","  {"
"0","    training_sample <- sample(c(TRUE, FALSE), nrow(Xyear), replace = T, prob = c(0.7,0.3))"
"0","    train <- Xyear[training_sample, ]"
"0","    test <- Xyear[!training_sample, ]"
"0","    "
"0","    lda1 <- caret::train(class ~., data = train, method = ""lda"","
"0","                         trControl = train.control)"
"0","    pred1<-predict(lda1, test)"
"0","    "
"0","    precis[i]<-recallBankrut(table(test$class, pred1))[1]"
"0","    recal[i]<-recallBankrut(table(test$class, pred1))[2]"
"0","    accura[i]<-recallBankrut(table(test$class, pred1))[3]"
"0","  }"
"0","  "
"0","  "
"0","  porownanieMetod1r2[1,1]<-""Analiza dyskryminacyjna"""
"0","  porownanieMetod1r2[1,2]<-mean(precis)"
"0","  porownanieMetod1r2[1,3]<-mean(recal)"
"0","  porownanieMetod1r2[1,4]<-mean(accura)"
"0","  porownanieMetod1r2[1,5]<-2*(porownanieMetod1r2[1,2]*porownanieMetod1r2[1,3]/(porownanieMetod1r2[1,2]+porownanieMetod1r2[1,3]))"
"0","  "
"0","  porownanieMetod1r2[1,2:5]<-round(porownanieMetod1r2[1,2:5],4)"
"0","  "
"0","  porownanieMetod1r2 %>% regulartable()"
