"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr37","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
-0.13316,1.2258,0.019101,1.0214,6.81,-0.55692,-0.13316,-0.1842,10.945,-0.22579,-0.029683,-0.14921,6e-05,-0.13316,681770,0.000535,0.8158,-0.13316,-0.012167,0,0.92023,-0.13269,-0.012167,-0.69008,-0.33029,0.000535,-1.2823,0.21606,2.9809,0.095252,-0.011897,29.222,12.491,9.0943,-0.20264,10.945,NA,-0.22579,-0.018515,0.23239,36.171,-0.012123,23.484,23.484,NA,1.0214,0,-0.26651,-0.02435,0.74368,0.89249,0.08006,-2.5539,-2.5539,18.279,-0.018515,0.58978,1.028,0,NA,15.543,29.763,12.264,123.8,0
0.23029,0.7939,0.080647,1.1307,11.337,0,0.23029,0.2596,2.6056,0.2061,0.23957,0.37311,0.11423,0.23029,973.6,0.3749,1.2596,0.23029,0.088381,0.5149,1.7791,0.23466,0.088381,0.29013,0.19926,0.3749,25.265,0.26692,3.8797,0.22503,0.091833,94.886,3.8467,2.9906,0.23134,2.6056,4.1437,0.37362,0.088786,0.3433,0.087625,0.090061,68.076,67.561,62.651,1.1247,0.56507,0.16732,0.064214,0.87902,0.61721,0.25996,0.68212,1.2366,611.38,0.088786,1.1174,0.9122,0.81285,708.87,5.4025,86.461,4.2215,8.6238,0
0.13429,0.73983,0.011301,1.0229,-28.702,0.18511,0.16567,0.32233,1.1535,0.23847,0.16567,0.33558,0.17008,0.16567,1140.3,0.32008,1.3517,0.16567,0.11899,26.486,1.5738,0.18972,0.096447,0.22655,0.23847,0.27766,1.5717,0.022829,4.4896,0.50011,0.11899,149.29,2.445,0.25643,0.18972,1.4104,1.6412,0.4846,0.13626,0.089795,0.093246,0.13626,120.76,94.275,1.3291,0.81824,30.551,0.11858,0.085166,0.68258,0.49369,0.40901,0.48175,0.97898,348.91,0.13308,0.56313,0.86692,1.0322,13.781,3.8717,129.42,2.8203,2.8128,0
0.40061,0.31264,0.49505,2.5834,23.328,-0.05344,0.50725,2.1986,3.5057,0.68736,0.56477,1.6225,0.15116,0.50725,215.35,1.6949,3.1986,0.50725,0.14469,31.421,1.0075,0.52595,0.11428,1.1115,0.66459,1.3538,9.1436,2.5742,3.7566,0.081221,0.14469,38.02,9.6003,9.6003,0.50423,3.5057,NA,0.68736,0.14383,0.090038,0.018996,0.15003,81.164,49.743,1.3275,1.6182,36.699,0.5033,0.14357,2.5834,0.31264,0.10416,3.5742,3.5742,2826.2,0.14383,0.58283,0.85778,0,11.616,7.3378,32.551,11.213,18.229,0
0.057545,0.50707,0.20089,1.7841,-0.43288,0,0.073646,0.97211,1.4059,0.49293,0.094595,0.28746,0.084279,0.073646,1562.1,0.23366,1.9721,0.073646,0.052384,46.351,1.1776,0.093497,0.040932,0.21092,0.49082,0.20191,4.4631,0.37002,4.3825,0.34754,0.06514,71.518,5.1036,2.5786,0.098329,1.4059,1.1111,0.74364,0.069942,0.16532,0.12218,0.066505,107.68,61.325,0.32233,1.0873,49.836,0.048658,0.034611,0.90143,0.2562,0.19594,0.90793,1.3697,4846.3,0.069942,0.11674,0.94783,0.50861,7.8747,5.9519,66.516,5.4874,2.5895,0
0.071535,0.5808,0.037798,1.0732,-68.105,-0.062841,0.071535,0.72177,2.1198,0.4192,0.071535,0.13853,0.037939,0.071535,2635.9,0.13847,1.7218,0.071535,0.033746,64.009,1.4368,0,0.033746,0.082313,0.076625,0.13847,NA,0.084783,4.5517,0.26887,0.078864,106.2,3.4368,3.0557,0.024466,2.1198,3.7951,0.46728,0.011542,0.021226,2.1779,0,93.536,29.527,0.19243,0.35331,76.455,-0.008889,-0.004193,0.95418,0.51639,0.29097,0.94031,1.0481,1346.3,0.16279,0.17064,0.83828,0.11468,5.7023,12.362,88.915,4.105,4.7549,0
0.27575,0.3394,0.48907,2.5064,69.882,0,0.34578,1.9464,2.0625,0.6606,0.35423,1.0651,0.17728,0.34578,338.8,1.0773,2.9464,0.34578,0.16765,14.408,1.2209,0.35143,0.13369,0.58532,0.65426,0.87097,41.592,2.6256,3.8963,0.15572,0.16799,69.745,5.2334,5.0062,0.36346,2.0625,654.36,0.66172,0.17622,0.30772,0.030471,0.17039,126.32,111.92,3.387,2.2556,17.489,0.33157,0.16076,2.3976,0.32466,0.19108,3.5465,3.5525,3851.8,0.17622,0.41742,0.83299,0.001694,25.334,3.2614,57.455,6.3528,11.073,0
0.11656,0.22399,0.39216,2.7508,27.741,0.23361,0.13767,3.3439,1.1297,0.74898,0.13767,0.61465,0.13748,0.13767,444.57,0.82102,4.4646,0.13767,0.10292,82.653,1.417,0.13976,0.08714,0.25792,0.74898,0.72678,1.1803,1.0216,4.5742,0.15932,0.10292,69.046,5.2863,0.62395,0.13976,1.3456,NA,0.74898,0.10448,0.055552,0.039595,0.10448,164.73,82.077,0.38481,1.3985,93.375,0.093532,0.069923,2.7508,0.22399,0.18917,1.9512,1.9512,14713,0.11483,0.15563,0.88517,0,4.4161,4.4471,61.118,5.9721,3.4848,0
0.1642,0.48805,0.39308,3.503,42.015,0.43176,0.20468,0.96456,1.1832,0.47076,0.20468,1.3034,0.21183,0.20468,706.41,0.5167,2.049,0.20468,0.17194,85.834,1.2267,0.18667,0.13793,0.53858,0.47076,0.43375,1.8553,0.87373,5.7699,0.4074,0.17194,56.972,6.4067,0.38248,0.18667,1.2389,0.81621,0.80177,0.15681,0.027474,0.068523,0.15681,167.35,81.515,0.58654,1.7204,101.56,0.13918,0.11691,1.1272,0.15704,0.15609,1.0464,1.7822,231400,0.15482,0.3488,0.84518,0.70314,4.2524,4.4777,48.151,7.5803,2.6461,0
0.20717,0.74446,0.23458,1.3151,191.71,-0.023781,0.25635,0.34272,3.0415,0.25514,0.29303,0.34434,0.084946,0.25635,1051.7,0.34705,1.3433,0.25635,0.084283,9.2387,NA,0.26844,0.068116,0.25635,0.18339,0.281,7.3187,11.192,3.3946,0.2058,0.084283,98.259,3.7309,3.7309,0.2765,3.0415,NA,0.25514,0.090909,0.18029,0.091754,0.088259,101.38,92.145,2.6911,1.2117,10.117,0.26642,0.087596,1.3151,0.74446,0.26803,12.173,12.173,582,0.090777,0.81201,0.087596,0,39.508,3.9612,89.339,4.0855,145.12,0
