"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr37","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.014868,0.44603,0.15594,1.3513,273.9,0.06956,0.03124,0.86414,1.028,0.38544,0.03124,0.070383,0.31205,0.03124,2163.6,0.1687,2.242,0.03124,0.12956,10.898,0.43779,0.048655,0.061662,0.11575,0.38544,0.13199,2.0743,0.38964,4.9995,1.8182,0.12956,690.66,0.52848,0.10908,0.048655,0.38502,271.12,0.38762,0.20178,0.025602,0.15826,0.20178,890.71,879.81,2.0653,1.3351,11.203,0.004649,0.019282,1.3447,0.44385,1.8922,0.96308,0.96854,15577,0.02722,0.038575,0.97278,0.005671,33.493,0.41486,671.86,0.54326,0.6025,0
0.2635,0.6887,-0.077077,0.80104,-52.668,-0.061332,0.2635,0.45201,1.5864,0.3113,0.31544,0.68016,0.1929,0.2635,821.44,0.44434,1.452,0.2635,0.1661,34.455,0.91464,0.31544,0.1661,0.20575,0.069048,0.44434,6.0731,-0.11176,3.9539,0.41925,0.17921,86.958,4.1974,2.3611,-0.039732,1.5864,0.53297,0.61259,-0.025045,0.073473,0.064132,0.19884,64.853,30.398,1.7596,0.4145,33.613,0.27292,0.17204,0.4506,0.38741,0.23824,0.45137,0.88824,-693.18,-0.025045,0.84645,0.86541,0.96786,10.594,12.007,89.136,4.0949,2.3002,0
-0.38586,0.6743,-0.10368,0.84526,-16.984,-0.099568,-0.38637,0.48303,3.2973,0.3257,-0.2114,-0.57666,-0.1148,-0.38637,-650.18,-0.56138,1.483,-0.38637,-0.11718,2.9853,1.7597,-0.21313,-0.11702,-0.38229,-0.48543,-0.56063,-1.2181,-0.23907,4.5263,0.19927,-0.11587,70.801,5.1553,5.1225,-0.15684,3.2973,377.5,0.32713,-0.047566,0.073437,-0.10948,-0.064637,57.245,54.26,-14.308,0.80501,2.8498,-0.22096,-0.067012,0.83989,0.67001,0.19397,0.75105,0.75434,-3483,-0.047566,-1.1847,1.1169,0.004387,122.26,6.7269,74.168,4.9212,7.6033,0
-0.016576,0.10479,0.24989,3.9273,81.994,0,-0.016451,8.5432,0.91272,0.89521,-0.012221,-0.19271,0.05763,-0.016451,727.13,0.50197,9.5432,-0.016451,-0.018024,21.181,1.1441,-0.016232,-0.018161,0.089398,0.85346,0.50078,-3.8379,0.37593,3.9814,0.012371,-0.01339,33.696,10.883,8.8661,-0.011978,0.91272,14.63,0.91451,-0.013123,1.1192,0.06613,-0.017785,95.863,74.683,-0.31296,3.3069,20.808,-0.085283,-0.093438,3.1994,0.085366,0.091885,1.3467,1.3757,3.9273,-0.013123,-0.018516,1.0179,0.021555,17.233,4.8873,34.138,10.692,1.3731,0
-0.12227,0.88975,-0.16985,0.56837,-128.26,-0.10046,-0.13698,0.12391,0.90497,0.11025,-0.060522,-0.34811,-0.045549,-0.13698,-7878.6,-0.046328,1.1239,-0.13698,-0.15137,55.422,1.142,-0.060969,-0.13511,-0.22579,0.10495,-0.029794,-0.7974,-0.21878,4.1895,0.96765,-0.10164,146.68,2.4884,1.1005,-0.074229,0.90497,0.18128,0.586,-0.082024,0.054772,0.85246,-0.067372,81.513,26.092,-0.88982,0.21917,51.22,-0.15673,-0.17319,0.25137,0.3935,0.40186,0.14201,0.75482,-2627.4,-0.082024,-1.109,1.148,4.3153,6.5859,13.989,158.71,2.2998,1.1657,0
0.13406,0.42674,-0.019868,0.95344,-43.186,0.66645,0.16072,1.2723,1.1088,0.54293,0.16072,0.37661,0.15634,0.16072,782.71,0.46633,2.3434,0.16072,0.12626,31.402,0.63998,0.16664,0.10532,0.81735,0.54293,0.40387,1.4516,-0.033497,4.1432,0.33542,0.12626,135.69,2.69,0.39049,0.16664,1.3618,NA,0.54293,0.13091,0.008253,0.068464,0.13091,115.66,84.259,1.2242,0.69682,34.82,0.12835,0.10084,0.95344,0.42674,0.37174,0.91537,0.91537,-276.27,0.09815,0.24692,0.90185,0,11.623,4.3319,122.37,2.9828,2.146,0
0.36209,0.26828,0.52403,2.9533,103.84,0,0.36209,2.7275,2.6651,0.73172,0.41532,1.3497,0.14744,0.36209,249.2,1.4647,3.7275,0.36209,0.13586,13.8,1.993,0,0.13586,0.44947,0.5119,1.4647,0,2.5231,3.0729,-0.054398,0.30297,65.805,5.5467,5.5467,0.11154,2.6651,NA,0.73172,0.041851,1.5513,0.28992,0,51.511,37.711,3.5935,2.5777,24.716,-0.030845,-0.011573,2.9533,0.26828,0.18029,3.5231,3.5231,619.81,0.44166,0.49485,0.5961,0,26.449,9.6788,36.741,9.9344,12.832,0
-0.36796,0.63001,-0.17533,0.64397,-317,0,-0.36796,0.58727,0.45749,0.36999,-0.3624,-0.74722,-0.69775,-0.36796,-720.38,-0.50667,1.5873,-0.36796,-0.80432,213.27,0.48967,0,-0.80432,-1.0283,0.31083,-0.50667,0,-0.25674,4.1338,1.374,-1.5923,325.54,1.1212,0.87639,0.025957,0.45749,NA,0.36999,0.056739,0.004116,0.43076,0,251.39,38.127,-1.3766,0.10116,176.71,-0.048752,-0.10656,0.50335,0.49245,0.89189,0.5418,0.5418,-2385.7,-0.20689,-0.99453,1.2217,0,1.7115,9.5733,392.89,0.92901,0.66994,0
0.2255,0.42597,0.62886,7.9576,54.295,0,0.28017,1.3476,1.6593,0.57403,0.31637,3.0998,0.19976,0.28017,469.08,0.77813,2.3476,0.28017,0.16885,94.104,1.1237,0.31345,0.1359,0.47509,0.57063,0.64977,8.6599,2.2399,4.1684,0.2112,0.19067,24.364,14.981,3.1788,0.3052,1.6593,0.87148,0.90847,0.18394,0.88654,0.038929,0.18891,140.59,46.488,0.52713,3.2246,115.31,0.26217,0.158,1.6885,0.090385,0.066751,2.0446,3.2358,9268.3,0.18394,0.39284,0.83318,0.58262,3.8787,7.8515,19.883,18.358,5.9101,0
0.03174,0.74254,-0.058501,0.87821,-32.421,0,0.03174,0.34673,2.1865,0.25746,0.054219,0.066081,0.024263,0.03174,5108.7,0.071447,1.3467,0.03174,0.014516,14.204,1.2297,0.028558,0.014516,0.066352,0.17466,0.071447,1.2704,-0.10118,4.0952,0.32943,0.024797,82.601,4.4188,2.8584,0.064032,2.1865,1.3823,0.50107,0.029285,0.14134,0.49632,0.013061,59.084,44.88,0.37304,0.70106,14.632,0.007246,0.003314,0.56809,0.48033,0.2263,0.4453,0.86664,-728.45,0.029285,0.12328,0.98568,0.94621,25.698,8.1328,80.182,4.5521,3.7818,0
