"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr37","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
-0.014806,0.56239,-0.11417,0.7666,-130.59,-0.064294,-0.012514,0.7488,0.96513,0.42111,-0.012514,-0.025582,0.10773,-0.012514,2237.8,0.1631,1.7781,-0.012514,-0.014697,69.389,0.95793,0.011659,-0.017388,-0.059412,0.42111,0.15903,0.13215,-0.18267,4.8243,0.65372,-0.014697,202.38,1.8036,0.020731,0.011659,0.90052,2.911,0.49433,0.013693,0.024387,0.15953,0.013693,155.63,86.246,-0.091465,0.43569,66.969,-0.092582,-0.10873,0.6668,0.48917,0.55446,0.67378,0.79093,-7618.6,-0.036131,-0.035159,1.0361,0.17386,5.2602,4.2321,209.69,1.7407,1.3624,0
0.10307,0.88179,-0.082587,0.90429,-16.848,0,0.12679,0.13405,2.3916,0.11821,0.13725,0.14694,0.062762,0.12679,2144.2,0.17022,1.1341,0.12679,0.053015,2.2584,0.82378,0.13708,0.043095,0.76369,0.10307,0.14332,13.103,-0.37594,3.5188,0.333,0.057318,139.49,2.6166,2.5606,0.13372,2.3916,NA,0.11821,0.055914,0.10728,0.18326,0.057316,104.96,102.7,6.9648,0.88714,2.3922,0.11377,0.047569,0.88492,0.8629,0.38217,0.53808,0.53808,-272.74,0.055914,0.87192,0.9494,0,161.62,3.554,131.69,2.7716,10.887,0
-0.086134,0.13706,0.54042,5.5297,27.878,0,-0.086134,6.2959,0.68668,0.86294,-0.085914,-0.72197,-0.0725,-0.086134,-1004.9,-0.36322,7.2959,-0.086134,-0.12544,255.39,1.0612,-0.086186,-0.12544,-0.19766,0.77835,-0.36322,-390.73,1.5882,4.014,0.17083,-0.12543,56.17,6.4982,5.6562,-0.088581,0.68668,NA,0.86294,-0.129,0.18849,-0.091675,-0.12551,338.72,83.33,-0.17927,1.5025,226.21,-0.12254,-0.17845,4.8133,0.1193,0.15389,2.536,2.536,5581.1,-0.129,-0.099815,1.1232,0,1.4292,4.3802,63.416,5.7557,2.018,0
0.051452,0.29504,0.68439,5.306,115.49,-0.051429,0.069197,2.3894,2.1476,0.70496,0.072154,0.43537,0.042846,0.069197,1170.3,0.31188,3.3894,0.069197,0.032221,0,1.1048,0.070765,0.023958,0.049001,0.69685,0.25173,23.933,4.3682,3.7939,0.009493,0.032221,27.934,13.067,7.0391,0.070801,2.1476,NA,0.70496,0.032968,1.8881,0.10509,0.032951,92.328,92.328,NA,5.306,0,0.047946,0.022326,2.8584,0.15894,0.076531,4.4995,4.4995,4258.3,0.032968,0.072985,0.96784,0,NA,3.9533,27.013,13.512,13.707,0
0.033552,0.53679,0.13367,1.5595,-30.395,0,0.033552,0.86291,2.4019,0.46321,0.04124,0.14043,0.05449,0.033552,1497,0.24381,1.8629,0.033552,0.013969,18.882,0.81298,0.040595,0.013969,0.10869,0.033552,0.24381,5.2805,0.21305,3.4838,0.19322,0.01717,36.638,9.971,4.438,0.021594,2.4019,0.99917,0.71176,0.008991,0.3219,0.12974,0.016901,44.934,26.052,0.27003,1.0394,19.037,-0.056731,-0.023619,0.69411,0.23893,0.10029,0.73829,1.1344,407.25,0.008991,0.072435,0.99507,0.53659,19.33,14.01,36.309,10.053,3.8282,0
0.003672,0.2445,0.2246,2.0013,53.372,0,0.003672,3.09,0.67596,0.7555,0.026593,0.01637,0.015233,0.003672,8666.9,0.042114,4.09,0.003672,0.005432,80.726,0.99782,0,0.005432,0.035127,0.36036,0.042114,0,0.40756,4.0426,0.30536,0.014891,203.57,1.793,1.6449,0.0173,0.67596,20.165,0.77035,0.025593,0.24319,1.2302,0,212.94,132.22,0.024561,1.3348,135.68,-0.006625,-0.009801,1.836,0.2243,0.55771,1.3709,1.3979,2477.6,0.40501,0.00486,0.65338,0.019653,4.5215,2.7606,121.12,3.0136,1.2266,0
0.002022,0.54894,-0.20474,0.61017,3408.5,0,0.003798,0.82169,5.1248,0.45106,0.016455,0.007232,0.00897,0.003798,4358.8,0.083738,1.8217,0.003798,0.000741,9.128,1.0379,0.016454,0.000394,0.008977,0.088658,0.080502,1.3,-0.30129,3.4673,0.091077,0.003211,37.525,9.7307,9.3098,0.016192,5.1248,NA,0.45106,0.00316,0.17859,0.31213,0.003211,16.144,7.0159,0.015774,0.36615,9.1534,-0.025715,-0.005018,0.58378,0.5252,0.10277,0.66377,0.66377,-600.54,0.00316,0.004482,0.9997,0,39.987,52.025,37.406,9.7578,7.5415,0
-0.4421,3.245,-2.6289,0.12755,-546.52,-3.5776,-0.4439,-0.69183,1.4352,-2.245,-0.43103,-0.14732,-0.23212,-0.4439,-3555.3,-0.10266,0.30817,-0.4439,-0.30929,11.965,0.40539,-0.44292,-0.30803,-3.6888,-3.9296,-0.10211,-34.396,-4.2701,3.6515,2.2464,-0.30032,586.71,0.62211,0.57767,-0.43934,1.4352,4.5811,-2.1714,-0.30612,0.007509,-0.32565,-0.30861,91.993,80.028,-9.3968,0.11194,9.1607,-0.55369,-0.38579,0.11844,3.0132,1.6074,-3.6466,-3.527,-11782,-0.30612,0.19692,1.301,-0.032797,30.506,4.5609,766.32,0.4763,2.3312,0
0.29732,0.06109,0.4046,7.623,2.0636,1.4092,0.35549,10.893,1.3337,0.66544,0.35549,5.8192,0.34285,0.35549,55.435,6.5842,16.369,0.35549,0.30302,26.865,0.78955,0.34462,0.25343,1.7166,0.66544,5.632,3.9178,0.75723,5.3241,0.049457,0.30302,25.349,14.399,5.6412,0.34462,1.2592,NA,0.66544,0.29375,5.1815,0.005132,0.29375,46.403,19.537,3.4431,6.2095,35.831,0.29788,0.25391,7.623,0.06109,0.06945,1.2454,1.2454,85337,0.25022,0.4468,0.74978,0,13.586,18.682,19.006,19.204,2.1957,0
0.078099,0.10761,0.41515,4.858,60.198,0.43609,0.098154,7.9719,1.1022,0.85784,0.098154,0.91214,0.10137,0.098154,272.39,1.34,9.2929,0.098154,0.069,53.048,1.0187,0.10507,0.054901,0.51755,0.85784,1.1536,0.81411,0.86989,6.1123,0.014717,0.069,30.433,11.994,0.97642,0.10507,1.4394,NA,0.85784,0.073862,0.80811,0.023412,0.073862,111.82,58.771,0.37775,2.9367,58.47,0.059029,0.041496,4.858,0.10761,0.083377,1.7975,1.7975,537700,0.092731,0.091041,0.90727,0,6.8805,6.2106,27.611,13.22,2.9807,0
