"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
20.47,80.11,12.2,0.8,1.18,1.18,216.89,60.7,158.4,NA,0.74,2.91,3.91,30.09,74.44,31.4,2.05,NA,0,5.73,24.77,22.72,33.13,11.57,1.95,2.83,2.83,185.78,47.55,54.04,NA,0.31,0.46,1.46,33.35,31.4,80.79,4.27,72859,0,5.41,38.58,-8.79,-11.82,-11.87,2.42,3.28,3.31,491.24,103.94,120.93,3.46,0.26,0.34,1.34,-2.08,25.6,-25.2,4.26,-7583.33,0,9.06,-193.19
25.29,29.95,34.59,2.93,6.43,6.43,288.56,267.86,76.59,0,0.16,0.18,1.18,25.29,15.56,162.59,NA,NA,0,0,0,-22.99,-248.71,-172.28,0.46,0.58,0.58,2735.83,298.23,2448.97,NA,0.91,9.82,10.82,-22.99,90.76,-8.07,0.2,NA,0,0,0,-6.57,1348.17,-9.75,0.51,0.61,0.61,540.51,55.78,537.17,NA,1,-206.3,-205.3,-6.57,100.49,9.08,-0.01,NA,0,0,0
6.97,23.77,10.03,0.14,0.39,0.39,523.89,58.74,240.6,0,0.71,2.41,3.41,29.17,70.66,9.87,0.66,NA,23.68,31.94,66.98,4.56,15.09,6.16,0.5,1.27,1.27,493.32,147.3,190.97,NA,0.7,2.31,3.31,16.32,69.77,11.2,0.76,8179.73,6.99,15.9,51.41,5.16,12.54,4.3,0.01,0.91,1.01,303.46,107.47,120.1,12.1,0.59,1.43,2.43,19.27,58.89,11.02,0.79,7023.67,4.48,11.76,55.38
-23.47,-2910.58,-34.18,0.03,0.58,0.58,525.71,281.81,506.87,0,0.99,123.01,124.01,21.37,99.19,-14.41,0.02,NA,0,65.3,141.41,-17.57,-204.35,-13.09,0.25,0.51,0.51,272.05,61.41,237.37,NA,0.91,10.63,11.63,45.26,91.4,-6.15,0.16,7241.5,0,46.83,103.57,-7.73,-31.03,-6.89,0.16,0.81,0.81,324.83,150,231.82,NA,0.75,3.02,4.02,45.75,75.1,25.83,0.62,7355.22,0,47.72,77.32
10.73,70.06,5.37,0.28,0.66,0.73,182.07,53.54,135.69,9.78,0.85,5.53,6.53,31.44,84.68,28.66,0.47,NA,3.21,10.36,41.14,14.76,41.67,7.53,0.06,0.7,0.87,186.26,74.82,103.06,20.97,0.65,1.82,2.82,27.28,64.58,52.91,0.81,23390.6,7.37,6.39,23.39,8.85,21.79,5.1,0.36,1.08,1.13,209.76,88.63,103.95,5.83,0.59,1.46,2.46,20.72,59.4,37.89,1.25,15942.33,9.29,6.84,30.25
0.29,1.11,0.27,0.02,0.99,1.38,339.79,236.5,229.52,95.27,0.74,2.8,3.8,10.25,73.68,3.15,72.58,NA,3.82,9.3,61.06,0.27,0.95,0.22,0.43,0.96,1.42,300.02,108.79,206.88,97.4,0.72,2.52,3.52,11.78,71.63,0.38,73.36,NA,0,9.46,98.47,19.59,50.69,15.42,0.05,1.44,1.44,286.57,236.97,170.46,NA,0.61,1.59,2.59,34.87,61.35,32.38,3.06,16281.29,0,12.03,36.21
-0.03,-0.08,-0.02,0.15,0.4,0.47,271.75,41.19,163.33,12.14,0.64,1.79,2.79,1.42,64.21,30.35,0.55,88169,0,1.08,6.1,0.46,1.34,0.62,0.32,0.43,0.48,487.94,32.36,311.37,17.85,0.65,1.88,2.88,1.02,65.29,11.01,0.52,36886.5,0,0.74,5.82,-0.54,-1.54,-0.86,0.32,0.41,0.44,575.3,33.15,367.25,12.99,0.65,1.84,2.84,0.46,64.74,11.79,0.5,41496,0,1.58,9.09
10.38,48.11,4.92,0.32,1.18,1.21,172.69,109.37,130.95,4.47,0.78,3.64,4.64,51.79,78.43,15.54,3.43,21110.63,0,19.65,74.17,0.29,1.65,0.27,0,0.94,1.04,342.53,220.41,204.63,26.21,0.83,4.73,5.73,40.09,82.55,4.56,1.13,18260.9,20.46,37.35,82.84,-34.82,-421.24,-21.97,0.03,0.81,0.88,229.67,121.08,124.97,12.4,0.92,11.09,12.1,42.63,91.73,-28.25,0.66,10642.77,31.14,48.87,136.71
0.41,1.31,0.12,0.09,0.84,1.06,105.73,35.77,37.62,10.68,0.69,2.22,3.22,26.86,68.97,25.03,1.06,NA,9.74,7.68,63.41,3.06,8.8,1.13,0.06,0.8,1.01,135.03,62.97,84.95,18.62,0.65,1.88,2.88,35.54,65.26,31.06,1.02,11639,0,12.02,56.76,1.06,2.73,0.35,0.26,0.51,0.93,119.78,18.1,70.59,30,0.61,1.58,2.58,53.19,61.19,18.21,0.92,6906.4,0,17.15,84.78
0.33,0.35,0.15,0.27,16.02,21.22,169.04,119.45,7.58,39.96,0.05,0.05,1.05,26.14,4.76,6.92,25.39,NA,0,11.99,99.13,0.32,0.41,0.25,0.08,6.74,11.87,286.99,127.62,19.16,99.51,0.23,0.29,1.29,18.71,22.59,17.77,4.74,3030.9,15.6,14.46,70.04,0.04,1.68,0.02,0.56,0.77,1.09,157.73,27.9,134.4,43.34,0.98,43.87,44.87,16.82,97.77,1.48,2.22,6344.2,11.41,7.27,82.62
