"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
4.81,16.32,5.85,1.11,4.72,4.72,264,121.76,33.81,NA,0.71,2.4,3.4,23.34,70.55,10.74,1.16,2076,0,22.54,60.36,34.53,56.25,NA,1.9,3.69,3.69,172.63,47.19,26.32,NA,0.39,0.63,1.63,97.39,38.61,128.64,1.91,NA,0,22.56,37.52,21.82,26.78,11.39,3.63,5.16,5.16,190.05,39.93,26.02,NA,0.19,0.23,1.23,70.69,18.53,197.15,3.04,NA,0,21.61,48.99
2.71,4.17,1.28,1.54,4.18,5.09,171.51,73.6,27.9,25.61,0.34,0.53,1.54,38.15,35,29.61,5.32,14405,12.9,16.7,68.8,2.18,3.85,1.02,1.25,2.28,2.77,170.08,56.81,55.3,27.11,0.43,0.76,1.76,33.7,43.25,16.81,7.83,8250.9,7.75,10.51,52.51,3.97,5.29,1.52,4.51,5.07,6.83,139.04,9.84,17.62,31.01,0.25,0.33,1.33,44.13,25,45.15,7.37,NA,6.42,10.91,49.97
0.96,1.81,0.79,0.03,1.54,1.9,297.44,118.75,78.33,27.69,46.42,87.16,1.88,22.16,46.42,28.78,1.26,7322.24,0,12.48,52.79,1.38,2.02,1.42,0.12,0.93,0.98,375.07,68.07,82.85,4.05,31.13,45.47,1.46,31.2,31.13,64.1,0.99,4878.88,0.2,22.19,46.6,-0.79,-1.48,-0.54,0.14,0.86,0.88,246.08,66.39,92.99,1.77,45.83,85.31,1.86,36.9,45.83,44.2,0.9,NA,0,18.72,50.02
6.8,6.94,49.47,49.41,49.41,49.41,2080.14,NA,53,NA,0.02,0.02,1.02,6.8,2.02,336.04,NA,NA,0,0,0,15.1,16.23,47.08,14.36,14.36,14.36,1134.97,NA,78.15,NA,6.96,7.48,1.07,15.1,6.96,216.88,NA,NA,0,0,0,27.15,28.84,47.07,16.51,17.12,17.12,630.97,22.36,36.44,NA,5.84,6.2,1.06,27.15,5.84,464.94,NA,NA,0,0,0
0.75,3.96,0.61,0.59,0.6,0.6,293.01,3.31,234.76,0.2,0.81,4.27,5.27,0.93,81.01,22.9,0.38,NA,0,0.14,0.79,-6.1,-18.74,-4.7,0.26,0.5,0.51,280.44,46.37,186.22,0.18,0.67,2.07,3.07,16.7,67.42,44.72,0.49,NA,0,17.57,36.2,36.62,42.04,14.17,2.68,4.2,4.2,140.85,27.04,17.84,0.11,0.13,0.15,1.15,95.84,12.9,719.32,1.89,NA,0,22.92,35.2
2.6,38.71,1.79,0.22,1.41,1.41,250.63,209.53,175.1,NA,0.93,13.9,14.9,2.6,93.29,2.78,NA,NA,0,0,0,-316.95,151.88,-229.91,0.33,0.34,0.34,264.04,8.75,771.19,NA,3.09,-1.48,-0.48,-315.17,308.68,-102.68,NA,NA,0,1.29,-2.76,-78.28,17.63,NA,0.19,0.19,0.19,NA,NA,NA,NA,5.44,-1.23,-0.23,-78.28,544.08,-14.39,NA,NA,0,NA,0
-2.19,-5.36,-1.77,0.1,1.01,1.08,293.52,154.01,168.83,11.94,0.59,1.45,2.45,12.61,59.13,10.59,1.3,32702.46,0,11.94,65.52,-2.69,-4.47,-3.18,0.47,1.44,1.44,429.89,162.03,166.56,0.5,0.4,0.66,1.66,17.56,39.84,13.09,1.41,NA,0,17.57,51.93,3.23,5.12,3.74,0.22,1.5,1.51,421.29,192.18,149.78,0.51,0.37,0.58,1.58,28.64,36.9,32.73,1.42,NA,0,21.7,50.1
33.4,48.9,24.88,1.84,2.75,2.76,271.16,71.19,78.07,0.54,0.32,0.46,1.46,68.95,31.7,116.97,3.65,14991.5,0,26.48,44.39,2.4,6.43,NA,0.08,1.28,1.34,323.36,222.09,184.99,10.84,0.6,1.6,2.67,49.88,59.96,16.49,1.74,NA,0,29.48,70.14,4.16,12.3,NA,0.43,1.4,1.4,275.54,163.61,163.48,0.36,0.66,1.96,2.96,49.67,66.22,15.51,2.95,NA,4.53,23.98,55.87
2,4.2,1.36,0.57,2.91,3.18,247.48,85.99,38.51,11.37,0.51,1.07,2.1,27.19,52.44,13.17,1.8,20592.38,4.34,17.13,75.02,-5.87,-15.69,-3.55,0.05,1.46,1.79,220.21,54.43,39.96,15.68,0.62,1.64,2.67,25.1,61.51,-0.64,1.26,10442.84,12.48,13.42,62.78,7.2,17.1,4.01,0.03,1.35,1.7,202.46,61.4,46.63,18.66,0.57,1.36,2.37,38.65,57.41,21.55,1.31,NA,7.4,12.57,49.28
9.42,789.4,7.44,0.19,1.96,2.32,287.5,195.73,110.8,39.6,0.99,82.77,83.77,14.28,98.81,10.6,0.12,6343.33,0,3.83,30.53,-1.49,-79.84,-0.91,0.08,0.41,0.92,222.91,71.13,216.27,110.5,0.98,52.56,53.56,13.07,98.13,5.57,0.19,5027,0,8.91,50.66,-11.14,129.29,-4.41,0.04,0.3,0.86,144.08,39.62,154.72,87.96,1.09,-12.61,-11.61,10.18,108.61,-6.56,-1.38,5447.75,0,8.44,71.98
0.36,10.61,7.21,23.26,23.26,23.26,7246.74,NA,308.01,NA,0.04,1.26,29.31,0.36,96.59,8.43,NA,NA,0,0,0,1.16,24.52,NA,27.21,27.21,27.21,6905.4,NA,250.95,NA,3.67,77.47,21.08,1.16,3.67,31.65,NA,NA,0,0,0,1.21,19.4,NA,44.4,44.4,44.4,6513.25,NA,145.08,NA,2.25,36.1,16.03,1.21,2.25,53.75,NA,NA,0,0,0
-38.53,-3050.86,-21.55,0.07,1.01,1.01,203.57,187.81,198.45,0.27,0.99,78.17,79.17,-6.74,98.74,-39.03,NA,-2130,0,17.78,-666.04,12.38,91.2,3.45,0.02,1.19,1.2,101.39,97.8,74.93,0.53,0.86,6.37,7.37,69.53,86.43,14.32,NA,NA,9.18,15.92,69.3,5.52,46.78,1.92,0.31,1.21,1.27,126.78,88.38,90.21,5.89,0.88,7.48,8.48,42.19,88.21,6.25,NA,NA,12.13,12.77,66.31
1.03,3.55,0.77,0.18,1.32,1.32,271.45,184.02,160.96,NA,0.71,2.44,3.44,22.5,70.91,11.5,1.97,18612.52,0,16.01,60.78,0.71,2.12,0.49,0.1,1.55,1.55,251.18,191.06,130.98,NA,65.6,195.66,2.98,34.79,65.6,13.22,2.52,NA,0,17.11,52.47,0.54,1.86,0.19,0.43,1.46,1.46,127.41,80.19,77.51,NA,70.16,241.23,3.44,40.82,70.16,11.37,3.83,NA,0,10.31,53.49
-6.04,-6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-6.04,0,NA,NA,NA,0,NA,NA,-9.6,-10.62,NA,10.42,10.42,10.42,NA,NA,NA,NA,9.6,10.62,1.11,-9.6,9.6,-100,NA,NA,0,NA,NA,26.96,43.6,7.12,2.62,2.62,2.62,96.1,NA,36.27,NA,38.16,61.7,1.62,74.72,38.16,70.66,NA,NA,0,12.61,60.53
-3.84,80.27,-10.38,0.31,0.32,0.81,984.77,14.18,1019.44,500.15,1.05,-21.91,-20.92,1.1,104.78,-2.1,-0.31,6726,0,13.35,148.89,8.26,448.46,NA,0.12,0.78,0.83,189.91,120.18,184.06,9.65,0.98,53.26,54.3,16.43,98.09,10.55,0.1,NA,0,3.22,25.58,6.84,76.68,6.78,0.16,0.53,0.9,360.54,119.88,323.58,118.31,0.91,10.19,11.21,19.86,90.91,10.12,0.49,NA,0,9.7,36.27
