"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
-8.71,-12.93,-44.62,2.13,2.6,8.27,1864.06,36.05,75.43,433.29,0.28,0.41,1.48,12.76,32.6,-4.17,1.36,NA,0,109.97,326.56,-21.7,-38.69,-90.71,0.17,0.51,2.81,1521.85,42.57,123.89,289.18,0.38,0.68,1.78,2.89,43.91,-33.34,1.11,NA,0,102.81,-497.67,-3.38,-5.95,-13.82,0.25,0.96,5.15,1492.15,50.69,71.88,305.87,0.38,0.67,1.76,19.43,43.2,16.44,1.19,4098,0,93.26,287.63
9.5,36.09,8.62,0.35,0.69,0.69,330.3,79.79,229.3,NA,0.74,2.8,3.8,58.88,73.67,36.09,0.52,18508,0,44.81,62.57,0.97,5.93,1.11,0.47,0.67,0.67,416.33,59.23,292.76,0,0.84,5.1,6.1,35.53,83.6,25.29,0.55,NA,0,39.52,56.05,30.81,72.39,30.13,1.03,1.48,1.48,356.89,87.31,191.81,NA,0.57,1.35,2.35,55.71,57.44,83.03,2.31,46988,0,24.35,29.61
-0.51,1.1,-0.1,0.05,0.31,0.67,73.37,26.03,102.01,37.01,1.46,-3.16,-2.16,8.44,146.26,0.96,-6.43,NA,4.65,1.8,79.37,19.47,-24.07,4.19,0.06,0.09,0.54,78.3,4.83,139.85,62.8,1.81,-2.24,-1.24,24.78,180.9,11.18,-28.2,NA,0,1.14,19.86,42.86,276.27,12.03,-0.19,0.64,1.17,102.43,70.08,84.9,45.54,0.84,5.45,6.45,48.5,84.49,51.52,8.42,NA,0,1.58,11.31
-12.77,-23.79,-23.87,0,0.17,0.95,680.48,44.54,198.72,214.74,0.46,0.86,1.86,13.67,46.33,11.48,0.95,NA,11.05,49.42,-943.03,-9.91,-22.44,-14.84,0,0.2,0.96,545.15,51.65,210.69,203.11,0.56,1.26,2.27,15.95,55.86,8.14,0.94,NA,12.15,38.73,345.2,-11.01,-28.8,-13.79,0,0.15,0.97,456.99,33.91,202.61,189.52,0.62,1.61,2.61,18.35,61.75,9.04,0.95,2712.52,5.73,36.77,349.08
1.97,49.29,3.25,0.1,0.82,1.28,601.14,39.58,54.77,25.51,0.96,24.08,25.08,26.21,96.01,12.59,0.05,8990.58,0,40.04,64.27,2.91,73.7,15.07,0.02,0.29,2.55,1887.54,159.85,582.99,1336.87,0.96,24.36,25.37,9.61,96.06,5.84,0.2,NA,0,34.75,49.96,-1.33,-5.27,-4.64,0.11,1.19,1.71,1274.54,175.67,163.22,87.14,0.75,2.97,3.97,3.72,74.8,1.18,0.33,6859.93,0,17.65,78.02
6.18,21.45,19.23,0.01,0.14,0.7,1132.03,28.26,136.97,121.58,0.43,1.5,3.47,27.84,71.17,47.96,0.6,NA,28.29,67.34,203.6,0.02,0.07,0.06,0.01,0.14,0.73,1078.6,29.6,125.46,136.26,0.44,1.48,3.34,21.55,70.02,30.75,0.62,NA,28.79,63.81,220.95,-0.13,-0.4,-0.31,0.06,0.23,0.81,861.6,30.76,104.74,103.42,0.43,1.32,3.09,22.16,67.59,34.68,0.64,5649.47,26.27,52.63,164.67
7.36,18.27,40.57,0.06,0.59,0.84,2005.08,411.17,708.23,195.53,0.46,1.13,2.48,18.44,59.7,47.58,0.7,NA,4.53,61.01,-203.98,7.29,17.3,37.97,0.14,0.78,1.04,1895.5,409.06,643.11,168.67,0.39,0.92,2.37,20.84,57.85,54.79,0.73,NA,0.5,70.55,-193.12,5.59,12.5,27.28,0.29,0.78,1.08,1780.78,293.57,595.88,183.07,0.36,0.81,2.24,22.12,55.28,50.7,0.75,-1826.33,0,80.65,-403.5
45.76,56.99,18.48,0.61,5.19,5.2,147.03,123.52,26.98,0.36,0.2,0.25,1.25,99.6,19.7,287.59,27.17,NA,0,21.75,43.78,-24.52,-128.42,-17.22,0.27,0.5,0.5,255.62,24.11,107.09,0.52,0.81,4.24,5.24,26.6,80.91,18.18,0.25,NA,0,35.9,70.42,-3.79,-15.56,-2.04,0.34,0.69,0.69,196.03,21.19,59.88,NA,0.76,3.1,4.1,59.01,75.62,45.09,0.32,14426,0,33.73,57.13
20.54,90.45,26.13,0.01,1.75,1.77,463.22,134.82,86.07,1.74,0.77,3.4,4.4,28.94,77.3,29.08,1.22,NA,4.77,10.69,14.5,5.99,21.17,9.43,0.01,1.37,1.41,572.85,72.54,53.41,2.11,0.72,2.53,3.53,13.61,71.68,45.39,0.98,NA,7.4,11.98,15.15,6.38,32.65,10.91,0.02,0.89,0.89,624.21,95.48,74.12,NA,0.8,4.12,5.12,13.5,80.46,39,0.98,34999.13,5.74,12.18,17.08
-3.51,-10.47,-12.57,0.06,0.36,0.82,1303.54,175.14,444.48,281.56,0.57,1.7,2.98,6.87,66.48,8.5,0.71,NA,11.68,37.18,282.61,1.08,4.58,3.53,0.03,0.55,0.85,1187.72,258.16,470.09,172.62,0.62,2.6,4.23,9.35,76.38,11.9,0.63,NA,7.74,26.98,399.35,1.53,8.37,8.37,0.08,0.5,0.79,1994.83,196.43,1161.24,368.08,0.73,3.97,5.46,7.26,81.7,9.78,0.54,NA,5.92,31.33,-21222.64
