"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
0.13,7.37,0.14,0.09,0.29,0.72,398.65,75.63,383.52,167.44,0.98,55.73,56.73,40.13,98.24,5.48,0.07,NA,0,43.69,85.3,6.95,83.22,NA,0.05,0.86,0.86,169.78,122.51,151.76,NA,0.92,10.98,11.98,39.26,91.65,10.33,0.38,NA,0,10.79,53.35,-0.62,-69.3,-0.63,0.01,0.71,0.71,367.31,242.96,344.02,NA,0.96,107.57,111.47,29.62,96.5,3.17,0.04,NA,0,22.01,66.88
1.09,12.95,0.74,0.05,0.47,0.47,247.36,92.28,156.99,NA,0.92,10.88,11.88,9.81,91.58,15.47,0.18,NA,27.2,5.91,28.7,-0.51,-12.11,-0.59,0.08,0.47,0.47,426.2,160.41,173.47,NA,0.96,22.92,23.92,3.64,95.82,13,0.11,26235,54.63,4.86,16.06,4.53,35.3,3.02,0.98,3.14,3.14,243.06,67.72,31.41,NA,87.17,679.48,7.79,14.81,87.17,30.61,1.47,NA,0,6.86,27.74
-9.03,342.2,-4.81,0,0.9,0.9,194.3,176.97,196.7,NA,1.03,-38.88,-37.88,-9.03,102.64,-5.16,-0.35,NA,0,0,0,5.14,242.8,8.76,0.2,0.98,0.98,620.31,465.84,600.5,NA,0.98,46.24,47.24,7.27,97.88,9.62,0.49,NA,0,3.63,8.2,2.01,71.9,2.12,0.05,1.03,1.03,383.76,362.76,368.92,NA,97.2,3474.48,35.74,2.07,97.2,3.7,NA,NA,0,0.05,0.26
0.49,0.49,1.35,922.33,922.33,922.33,260.1,NA,1.08,NA,0,0,1,0.49,0.11,450,NA,NA,0,0,0,5.61,5.73,4.74,47.17,47.17,47.17,307.7,NA,6.45,NA,0.02,0.02,1.02,5.61,2.12,264.57,NA,NA,0,0,0,21.63,23.06,5.05,6.62,16.18,16.18,84.95,49.66,5.19,NA,6.18,6.59,1.07,21.63,6.18,350,NA,NA,0,0,0
17.12,17.6,7.6,6.34,35.93,35.93,57.7,128.57,4.35,0,0.03,0.03,1.03,17.94,2.72,981.66,NA,NA,0,0.36,1.79,14.26,26.47,1.69,0.21,0.24,0.24,43.17,0.72,19.41,NA,46.13,85.64,1.86,61.21,46.13,79.9,0.61,NA,0,5.57,36.59,12.71,24.23,0.94,0.04,0.04,0.04,26.99,0.46,70.15,NA,47.55,90.66,1.91,50.1,47.55,100.35,0.6,NA,0,2.77,31.85
1.04,2.46,0.88,0.37,1.29,1.48,310.1,159.33,173.29,33.05,0.58,1.36,2.36,19.36,57.65,13.47,2.84,18717.25,0,15.56,63.91,0.65,1.28,0.61,0.12,1.5,1.79,345.79,228.72,166.29,50.16,0.5,0.98,1.98,17.58,49.6,15.92,4.33,13005.2,0,16.09,57.9,0.8,1.58,0.73,0.31,1.55,1.79,331.13,193.82,156.03,37.88,0.49,0.97,1.97,22.49,49.19,13.3,3.78,NA,0,13.71,45.13
37.95,52.82,12.18,2.02,3.55,3.55,117.17,49.61,32.53,NA,0.28,0.39,1.39,37.95,28.15,134.98,407.19,NA,0,0,0,17.46,27.87,16.18,1.32,2.67,2.67,337.39,169.28,124.64,NA,0.37,0.6,1.6,17.46,37.35,46.81,753.71,NA,0,0,0,8.18,8.26,5.22,15.27,96.82,96.82,232.3,102.7,2.37,NA,0.01,0.01,1.01,8.18,1.03,796.4,1235.38,NA,0,0,0
8.96,40.58,3.88,0.36,0.68,0.68,158.05,37.93,120.66,NA,0.78,3.53,4.53,38.84,77.92,11.5,0.47,NA,0,12.94,72.54,-9.45,-86.48,-19.56,0.35,0.38,0.38,753.39,19.72,663.36,NA,0.89,8.15,9.15,-9.45,89.07,-10.45,0.17,NA,0,0,0,-4.81,-157.45,-4.76,0.35,0.35,0.37,359.96,0.4,278.59,5.18,0.97,31.73,32.73,0.21,96.94,-0.02,0.31,NA,0,3.69,38.1
-3.36,-35.21,-2.99,-0.03,1.11,1.11,221.49,329.38,289.63,NA,0.9,9.47,10.47,-3.36,90.45,-3.72,NA,NA,0,0,0,4.79,40.39,2.57,0.28,1.13,1.13,195.67,146,170.59,NA,0.88,7.44,8.44,4.79,88.15,5.43,NA,NA,0,0,0,0.87,4.57,0.41,0.27,1.23,1.23,172.78,133.64,138.39,NA,80.99,425.91,5.26,0.87,80.99,1.07,NA,NA,0,0,0
0.15,0.29,0.04,0.54,2.23,2.23,86.84,43.34,25.7,NA,0.34,0.66,1.95,152.42,48.64,37.15,1.57,10536.13,0,36.23,87.67,0.22,1.77,0.06,0,0.23,0.99,104.14,20.58,20.45,67.69,0.88,7.01,8.01,53.01,87.51,3.46,0.84,16410,65.6,15.1,87.6,23.76,57.62,0.9,0.58,1.6,1.6,13.8,5.95,5.83,NA,0.44,1.06,2.42,123.72,43.8,65.97,1.33,NA,0,2.71,49.53
