"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
-3.04,-8.05,-9.09,0,0.2,0.88,1087.26,72.54,189.51,255.68,0.52,1.37,2.65,15.49,62.2,4.68,0.74,1807.65,28.3,55.36,397.45,-0.82,-2.11,-2.31,0,0.17,0.81,1032.84,66.34,200.55,245.45,0.51,1.33,2.58,19.88,51.48,9.78,0.69,6010.23,25.8,43.3,228.9,0.61,1.34,1.37,0,0.15,0.77,822.75,38.92,105.68,167.79,0.45,0.99,2.22,22.98,44.72,16.93,0.67,NA,24.04,37.93,292.57
-14.44,-55.84,-7.34,0.08,0.96,0.96,184.95,78.29,89.45,NA,0.74,2.87,3.87,-14.44,74.14,-12.55,0.49,NA,0,0,0,5.78,20.66,2.46,0.14,0.55,0.75,154.93,31.4,77.12,15.85,0.72,2.57,3.57,5.78,72.01,15.74,0.46,NA,0,0,0,1.49,5.71,0.74,0.89,0.92,1.11,181.59,2.78,94.51,19.07,0.74,2.83,3.83,1.49,73.91,2.02,0.67,NA,1.56,0,0
8.42,9.28,15.75,6.02,7.43,10.95,681.3,69.44,48.93,174.21,0.09,0.1,1.1,18.88,9.28,189.33,4.5,13759.57,0,19.59,128.69,4.44,4.89,7.93,7.87,9.2,12.17,649.99,56.72,42.82,127.22,0.09,0.1,1.1,14.86,8.71,172.61,4.88,NA,0,13.43,62.49,4.16,4.55,10.57,8.3,8.66,13.83,924.34,20.52,57.11,295.57,0.09,0.09,1.09,13.86,8.51,154.36,6.89,NA,0,17.88,49.71
-5.86,-6.75,-54.05,11.59,13.33,16.57,3355.15,184.36,106.05,347.92,0.07,0.08,1.15,6.75,13.16,73.41,1.93,-11944.44,0,116.29,-105.64,3.87,4.38,24.23,7.56,16.75,19.98,2276.45,613.21,66.73,215.29,0.06,0.07,1.13,16.29,6.42,199.14,2.25,8699.21,0,54.61,-414.77,0.41,0.46,3.44,18.7,20.4,24.47,3065.57,129.9,76.13,309.71,0.06,0.06,1.12,13.12,5.77,146.24,2.4,NA,0,75.43,-188.12
2.23,12.46,3.26,0.33,0.65,0.85,532.51,104.99,153.95,64.18,0.61,3.44,5.6,3.25,82.14,36.33,0.38,18698,32.25,1.49,14.12,1.48,8.4,2.07,0.14,0.71,0.97,507.1,209.4,213.39,93.98,72.95,412.67,5.66,3.58,72.95,29.35,0.61,NA,30.4,2.1,20.56,11.51,36.64,12.95,0.15,0.62,1.08,409.48,130.71,175.47,128.51,68.58,218.32,3.18,14.08,68.58,30.06,1.34,NA,25.24,2.05,45.06
-0.18,-0.53,-0.39,0.09,0.3,1.35,786.17,27.61,134.31,142.7,0.48,1.41,2.91,11.77,65.64,25.9,0.86,4553.35,7.28,25.82,260.12,2.03,5.13,3.98,0.16,0.41,1.5,714.97,31.71,129.79,141.07,0.46,1.16,2.53,14.82,45.62,36.88,0.92,NA,4.35,17.99,214.66,2.76,6.93,5.26,0.26,0.41,1.77,694.17,16.91,111.47,151.86,0.48,1.21,2.51,17.75,48.09,37.36,1.01,NA,10.82,20.17,164.2
0.58,15.34,2.65,0.24,0.26,0.81,1662.78,31.23,1417.31,788.83,0.96,25.47,26.47,18.48,96.22,13.12,0.43,-3679,9.25,81.78,-209.84,-3.84,109.68,-142.64,1.09,1.09,1.14,13510.89,44.87,10825.33,505.08,1.04,-29.54,-28.54,-2.79,103.5,-2.53,2.49,NA,0.44,38.94,-21.13,-54.62,75.54,-598.29,0.79,0.85,0.98,3987.35,141.49,2575.49,342.31,1.72,-2.38,-1.38,-49.46,172.3,-24.72,0.95,NA,0.18,56.54,-15.27
19.99,20.05,1.41,103.39,334.61,334.61,25.7,17.56,0.08,NA,0,0,1,19.99,0.3,6688.89,NA,NA,0,0,0,0.07,0.08,0.45,7.16,7.26,7.26,2275.73,NA,309.96,NA,0.14,0.16,1.16,0.07,13.77,0.52,NA,NA,0,0,0,0.03,0.03,0.35,15.38,16.56,16.56,5102.39,360,304.74,NA,0.06,0.06,1.06,0.03,6.04,0.41,NA,NA,0,0,0
-5.29,-8.55,-12.36,0.09,0.32,0.97,850.81,66.3,286.64,189.76,0.35,0.56,1.62,9.12,38.12,20.42,0.94,9746.08,0,33.69,65.38,-23.6,-51.07,-50.57,0.06,0.18,0.4,779.83,45.47,386.89,84.94,0.51,1.1,2.16,-7.02,50.69,-22.2,0.59,NA,0,25.84,120.64,-1.4,-3,-3.4,0.13,0.23,0.47,884.8,45.83,438.5,103.75,0.51,1.09,2.15,18.3,50.68,12.4,0.62,NA,0,35.52,61.28
2,7.57,1.71,0.64,1.19,1.19,311.57,123.56,226.73,NA,0.74,2.79,3.79,17.4,73.64,9.91,2.14,32814,0,13.19,59.81,1.46,7.51,1.4,0.38,0.89,0.89,351.16,143.72,279.23,NA,0.81,4.16,5.16,13.5,80.63,6.71,0.69,NA,0,8.58,74.88,1.48,7.06,1.61,0.24,0.8,0.8,395.78,173.65,275.49,NA,0.79,3.78,4.78,12.56,79.07,16.93,0.58,NA,8.59,8.85,34.12
-9.12,-400.73,-25.76,0.62,1.76,2.05,1027.68,78.3,257.44,73.6,0.98,42.93,43.93,4.03,97.72,0.45,0.31,-4277.08,0,37.13,-265.6,-0.75,-57.82,NA,0.33,8.3,9.44,865.61,200.67,45.9,52.53,0.99,75.67,76.67,12.91,98.7,10.21,1.9,NA,0,23.14,132.32,-5.09,119.69,-21.5,0.1,1.83,2.41,1538.03,316.99,102.53,167.55,0.95,-22.43,-23.53,4.33,95.32,4.07,1.33,NA,12.51,27.94,909.53
0.12,0.18,0.13,0.13,0.32,1.35,371.69,16.2,68.47,88.11,0.24,0.34,1.43,11.66,29.92,60.35,1.03,4676.07,4.34,11.78,159.17,-10.15,-15.23,-8.54,0.05,0.34,1.4,306.09,23.24,79.5,84.5,0.28,0.41,1.5,7.13,27.57,14.95,1.07,NA,0,10.08,179.58,1.76,3,1.7,0.04,0.45,1.31,351.26,50.6,70.98,106.48,0.37,0.63,1.7,16.22,36.81,34.81,1.11,NA,15.33,9.86,66.5
2.99,10.29,69.97,0.63,0.87,1.02,8515.98,1227.27,5184.42,772.21,0.71,2.44,3.44,11.46,70.94,27.7,1.02,-13994.2,0,198.23,-32.88,2.71,8.93,56.9,0.7,1.04,1.15,7637.74,1558.57,4634.15,512.94,0.7,2.29,3.29,13.39,69.63,30.45,1.31,NA,0,168.07,-33.98,2.47,8.17,63.4,0.83,0.92,1.05,9330.38,493.9,5675.36,788.97,0.7,2.3,3.3,13.13,69.73,26.27,1.1,NA,0,212.16,-35.63
1.27,2.57,2.45,0.09,0.41,0.64,701.49,38.85,119.93,27.79,0.5,1.02,2.02,1.27,50.46,29.37,0.93,NA,0,0,0,0.79,3.23,NA,0.1,0.34,0.66,1080.54,68.03,286.31,91.49,0.76,3.09,4.09,0.79,75.53,18.16,0.92,NA,0,0,0,0.42,3.18,NA,0.15,0.38,0.62,1692.71,127.17,554.12,131.3,0.79,6.02,7.6,1.22,79.14,13.36,0.76,NA,0,2.75,10.14
0.6,0.81,0.41,0.25,2.23,2.91,248.6,95.29,39.87,34.32,0.21,0.29,1.34,7.46,25.59,17.28,1.84,22901.39,4.2,4.69,66.02,0.51,0.63,0.32,0.45,2.97,4.04,232.04,80.97,34.56,37.14,0.16,0.2,1.25,7.96,15.77,23.72,2.05,11246.91,0,3.42,40.2,0.33,0.44,0.22,0.55,2.32,3.03,242.97,69.54,43.39,30.78,0.19,0.25,1.31,8.21,18.71,20.47,1.69,NA,0,3.77,49.42
1.07,2.83,0.6,0.03,0.14,0.14,206.2,13.45,121.31,0.01,0.62,1.66,2.66,8.72,62.36,81.13,0.44,56707.11,2.84,4.34,12.94,-0.58,-1.79,-0.45,0.07,0.09,0.09,281.22,3.74,187.83,0.01,0.68,2.08,3.08,7.16,67.55,49.78,0.35,NA,0,3.8,14.97,-5.06,-14.34,NA,0.02,0.22,0.22,250.73,30.71,160.41,0.01,0.65,1.83,2.83,5.64,64.69,78.77,0.41,NA,0,5.01,11.62
-0.17,-0.19,-0.29,7.04,9.92,13.28,648.24,68.32,23.7,80.77,0.12,0.13,1.13,14.66,11.86,95.06,1.88,17488.19,0,26.39,80.7,3.73,4.33,6.49,4.88,6.89,8.72,633.11,76.06,37.96,69.54,0.14,0.16,1.16,18.31,13.82,87.4,2.04,11155.41,0,18.18,57.02,2.03,2.36,4.04,8.03,9.15,12.18,721.99,32.15,28.87,87.41,0.12,0.14,1.16,17.57,12.01,75.85,1.88,NA,0,21.7,74.56
1.23,3.55,0.35,0.25,0.57,0.91,103.95,20,50.42,22.04,0.65,1.89,2.89,20.02,65.39,12.95,0.86,18852.53,13.75,5.37,88.95,0.83,2.34,0.63,0.14,0.32,0.81,273.45,30.12,160.54,82.57,0.64,1.81,2.81,21.84,64.44,11.03,0.75,13026.78,3.94,11.43,71.88,-4.27,-12.67,-2.25,0.06,0.27,0.74,192.29,25.28,101.47,57.5,0.66,1.97,2.97,16.75,66.33,1.15,0.66,NA,11.88,8.05,97.08
1.96,4.99,2.94,1.63,1.94,1.94,544.99,78.65,248.53,NA,0.46,1.17,2.54,9.22,60.63,11.77,3.79,9676,0,10.87,56.82,4.43,10.39,6.79,1.46,1.63,1.63,557.48,54.01,315.95,NA,57.3,134.21,2.34,11.77,57.3,13.61,6.34,NA,0,11.24,42.09,6.57,13.05,8.74,1.6,1.85,1.85,484.08,58.13,237.64,NA,49.64,98.56,1.99,14.7,49.64,22.18,6,NA,0,10.82,36.35
